date,close,volume,company,price_change,volume_change,high_low_ratio,target,headline,news_count
2023-02-10,148.72,57450700,Apple,0.0025,0.0258,1.0142,1,Apple market update,1.0
2023-02-13,151.51,62199000,Apple,0.0188,0.0826,1.0221,0,Apple market update,1.0
2023-02-14,150.87,61707600,Apple,-0.0042,-0.0079,1.0193,1,Apple market update,1.0
2023-02-15,152.97,65573800,Apple,0.0139,0.0627,1.0171,0,Apple market update,1.0
2023-02-16,151.38,68167900,Apple,-0.0104,0.0396,1.0194,0,Apple market update,1.0
2023-02-17,150.23,59144100,Apple,-0.0075,-0.1324,1.0143,0,Apple market update,1.0
2023-02-21,146.22,58867200,Apple,-0.0267,-0.0047,1.0195,1,Apple market update,1.0
2023-02-22,146.65,51011300,Apple,0.0029,-0.1335,1.019,1,Apple market update,1.0
2023-02-23,147.13,48394200,Apple,0.0033,-0.0513,1.0211,0,Apple market update,1.0
2023-02-24,144.48,55469600,Apple,-0.018,0.1462,1.0101,1,Apple market update,1.0
2023-02-27,145.67,44998500,Apple,0.0082,-0.1888,1.0117,0,Apple market update,1.0
2023-02-28,145.17,50547000,Apple,-0.0034,0.1233,1.0153,0,Apple market update,1.0
2023-03-01,143.1,55479000,Apple,-0.0142,0.0976,1.0153,1,Apple market update,1.0
2023-03-02,143.69,52238100,Apple,0.0041,-0.0584,1.0195,1,Apple market update,1.0
2023-03-03,148.74,70732300,Apple,0.0351,0.354,1.0257,1,Apple market update,1.0
2023-03-06,151.49,87558000,Apple,0.0185,0.2379,1.0185,0,Apple market update,1.0
2023-03-07,149.3,56182000,Apple,-0.0145,-0.3583,1.0192,1,Apple market update,1.0
2023-03-08,150.55,47204800,Apple,0.0084,-0.1598,1.0108,0,Apple market update,1.0
2023-03-09,148.3,53833600,Apple,-0.0149,0.1404,1.0287,0,Apple market update,1.0
2023-03-10,146.24,68572400,Apple,-0.0139,0.2738,1.0226,1,Apple market update,1.0
2023-03-13,148.18,84457100,Apple,0.0133,0.2316,1.0368,1,Apple market update,1.0
2023-03-14,150.27,73695900,Apple,0.0141,-0.1274,1.022,1,Apple market update,1.0
2023-03-15,150.67,77167900,Apple,0.0026,0.0471,1.0222,1,Apple market update,1.0
2023-03-16,153.48,76161100,Apple,0.0187,-0.013,1.0318,0,Apple market update,1.0
2023-03-17,152.65,98944600,Apple,-0.0055,0.2991,1.0159,1,Apple market update,1.0
2023-03-20,155.01,73641400,Apple,0.0155,-0.2557,1.0238,1,Apple market update,1.0
2023-03-21,156.86,73938300,Apple,0.0119,0.004,1.0183,0,Apple market update,1.0
2023-03-22,155.43,75701800,Apple,-0.0091,0.0239,1.0274,1,Apple market update,1.0
2023-03-23,156.52,67622100,Apple,0.007,-0.1067,1.0245,1,Apple market update,1.0
2023-03-24,157.82,59196500,Apple,0.0083,-0.1246,1.0158,0,Apple market update,1.0
2023-03-27,155.88,52390300,Apple,-0.0123,-0.115,1.0184,0,Apple market update,1.0
2023-03-28,155.26,45992200,Apple,-0.004,-0.1221,1.0161,1,Apple market update,1.0
2023-03-29,158.33,51305700,Apple,0.0198,0.1155,1.0107,1,Apple market update,1.0
2023-03-30,159.89,49501700,Apple,0.0099,-0.0352,1.0074,1,Apple market update,1.0
2023-03-31,162.4,68749800,Apple,0.0156,0.3888,1.0191,1,Apple market update,1.0
2023-04-03,163.65,56976200,Apple,0.0077,-0.1713,1.0126,0,Apple market update,1.0
2023-04-04,163.11,46278300,Apple,-0.0032,-0.1878,1.0105,0,Apple market update,1.0
2023-04-05,161.27,51511700,Apple,-0.0113,0.1131,1.0201,1,Apple market update,1.0
2023-04-06,162.16,45390100,Apple,0.0055,-0.1188,1.0183,0,Apple market update,1.0
2023-04-10,159.57,47716900,Apple,-0.016,0.0513,1.0122,0,Apple market update,1.0
2023-04-11,158.36,47644200,Apple,-0.0076,-0.0015,1.0115,0,Apple market update,1.0
2023-04-12,157.67,50133100,Apple,-0.0044,0.0522,1.0143,1,Apple market update,1.0
2023-04-13,163.05,68445600,Apple,0.0341,0.3653,1.0271,0,Apple market update,1.0
2023-04-14,162.7,49386500,Apple,-0.0021,-0.2785,1.0153,1,Apple market update,1.0
2023-04-17,162.72,41516200,Apple,0.0001,-0.1594,1.0083,1,Apple market update,1.0
2023-04-18,163.94,49923000,Apple,0.0075,0.2025,1.0106,1,Apple market update,1.0
2023-04-19,165.08,47720200,Apple,0.007,-0.0441,1.0158,0,Apple market update,1.0
2023-04-20,164.12,52456400,Apple,-0.0058,0.0992,1.014,0,Apple market update,1.0
2023-04-21,162.51,58337300,Apple,-0.0098,0.1121,1.0119,1,Apple market update,1.0
2023-04-24,162.82,41949600,Apple,0.0019,-0.2809,1.0104,0,Apple market update,1.0
2023-04-25,161.28,48714100,Apple,-0.0094,0.1613,1.0158,0,Apple market update,1.0
2023-04-26,161.27,45498800,Apple,-0.0001,-0.066,1.0152,1,Apple market update,1.0
2023-04-27,165.85,64902300,Apple,0.0284,0.4265,1.0204,1,Apple market update,1.0
2023-04-28,167.1,55275900,Apple,0.0075,-0.1483,1.0117,0,Apple market update,1.0
2023-05-01,167.01,52472900,Apple,-0.0005,-0.0507,1.0107,0,Apple market update,1.0
2023-05-02,165.98,48425700,Apple,-0.0062,-0.0771,1.0168,0,Apple market update,1.0
2023-05-03,164.91,65136000,Apple,-0.0065,0.3451,1.0225,0,Apple market update,1.0
2023-05-04,163.27,81235400,Apple,-0.0099,0.2472,1.0166,1,Apple market update,1.0
2023-05-05,170.93,113453200,Apple,0.0469,0.3966,1.0207,0,Apple market update,1.0
2023-05-08,170.86,55962800,Apple,-0.0004,-0.5067,1.0101,0,Apple market update,1.0
2023-05-09,169.16,45326900,Apple,-0.01,-0.1901,1.0113,1,Apple market update,1.0
2023-05-10,170.92,53724500,Apple,0.0104,0.1853,1.0124,1,Apple market update,1.0
2023-05-11,171.11,49514700,Apple,0.0011,-0.0784,1.0141,0,Apple market update,1.0
2023-05-12,170.18,45533100,Apple,-0.0054,-0.0804,1.0179,0,Apple market update,1.0
2023-05-15,169.69,37266700,Apple,-0.0029,-0.1815,1.0101,0,Apple market update,1.0
2023-05-17,170.3,57951600,Apple,0.0036,0.3762,1.0147,1,Apple market update,1.0
2023-05-18,172.63,65496700,Apple,0.0137,0.1302,1.0154,1,Apple market update,1.0
2023-05-19,172.74,55809500,Apple,0.0006,-0.1479,1.0083,0,Apple market update,1.0
2023-05-22,171.79,43570900,Apple,-0.0055,-0.2193,1.0073,0,Apple market update,1.0
2023-05-23,169.19,50747300,Apple,-0.0152,0.1647,1.0123,1,Apple market update,1.0
2023-05-24,169.46,45143500,Apple,0.0016,-0.1104,1.0111,1,Apple market update,1.0
2023-05-25,170.6,56058300,Apple,0.0067,0.2418,1.0129,1,Apple market update,1.0
2023-05-26,173.0,54835000,Apple,0.0141,-0.0218,1.0154,1,Apple market update,1.0
2023-05-30,174.85,55964400,Apple,0.0107,0.0206,1.0137,0,Apple market update,1.0
2023-05-31,174.8,99625300,Apple,-0.0003,0.7802,1.0147,1,Apple market update,1.0
2023-06-01,177.6,68901800,Apple,0.016,-0.3084,1.018,1,Apple market update,1.0
2023-06-02,178.45,61996900,Apple,0.0048,-0.1002,1.0141,0,Apple market update,1.0
2023-06-05,177.1,121946500,Apple,-0.0076,0.967,1.0388,0,Apple market update,1.0
2023-06-06,176.73,64848400,Apple,-0.0021,-0.4682,1.0152,0,Apple market update,1.0
2023-06-07,175.36,61944600,Apple,-0.0078,-0.0448,1.0219,1,Apple market update,1.0
2023-06-08,178.07,50214900,Apple,0.0155,-0.1894,1.019,1,Apple market update,1.0
2023-06-09,178.46,48900000,Apple,0.0022,-0.0262,1.0089,1,Apple market update,1.0
2023-06-12,181.25,54274900,Apple,0.0156,0.1099,1.0161,0,Apple market update,1.0
2023-06-13,180.78,54929100,Apple,-0.0026,0.0121,1.0094,1,Apple market update,1.0
2023-06-14,181.41,57462900,Apple,0.0035,0.0461,1.013,1,Apple market update,1.0
2023-06-15,183.44,65433200,Apple,0.0112,0.1387,1.0149,0,Apple market update,1.0
2023-06-16,182.36,101256200,Apple,-0.0059,0.5475,1.0148,1,Apple market update,1.0
2023-06-20,182.45,49799100,Apple,0.0005,-0.5082,1.0092,0,Apple market update,1.0
2023-06-21,181.42,49515700,Apple,-0.0057,-0.0057,1.0154,1,Apple market update,1.0
2023-06-22,184.41,51245300,Apple,0.0165,0.0349,1.0184,0,Apple market update,1.0
2023-06-23,184.1,53117000,Apple,-0.0017,0.0365,1.0138,0,Apple market update,1.0
2023-06-26,182.71,48088700,Apple,-0.0076,-0.0947,1.0152,1,Apple market update,1.0
2023-06-27,185.46,50730800,Apple,0.0151,0.0549,1.0146,1,Apple market update,1.0
2023-06-28,186.63,51216800,Apple,0.0063,0.0096,1.0123,1,Apple market update,1.0
2023-06-29,186.97,46347300,Apple,0.0018,-0.0951,1.006,1,Apple market update,1.0
2023-06-30,191.29,85213200,Apple,0.0231,0.8386,1.0168,0,Apple market update,1.0
2023-07-03,189.8,31458200,Apple,-0.0078,-0.6308,1.0111,0,Apple market update,1.0
2023-07-05,188.68,46920300,Apple,-0.0059,0.4915,1.0124,1,Apple market update,1.0
2023-07-06,189.16,45094300,Apple,0.0025,-0.0389,1.0149,0,Apple market update,1.0
2023-07-07,188.04,46815000,Apple,-0.0059,0.0382,1.0128,0,Apple market update,1.0
2023-07-10,186.0,59922200,Apple,-0.0109,0.28,1.0158,0,Apple market update,1.0
2023-07-11,185.48,46638100,Apple,-0.0028,-0.2217,1.0145,1,Apple market update,1.0
2023-07-12,187.15,60750200,Apple,0.009,0.3026,1.0171,1,Apple market update,1.0
2023-07-13,187.91,41342300,Apple,0.0041,-0.3195,1.0074,1,Apple market update,1.0
2023-07-14,188.05,41616200,Apple,0.0008,0.0066,1.0082,1,Apple market update,1.0
2023-07-17,191.31,50520200,Apple,0.0173,0.214,1.0131,0,Apple market update,1.0
2023-07-18,191.05,48288200,Apple,-0.0013,-0.0442,1.0099,1,Apple market update,1.0
2023-07-19,192.4,80507300,Apple,0.0071,0.6672,1.029,0,Apple market update,1.0
2023-07-20,190.46,59581200,Apple,-0.0101,-0.2599,1.0206,0,Apple market update,1.0
2023-07-21,189.29,71951700,Apple,-0.0062,0.2076,1.0196,1,Apple market update,1.0
2023-07-24,190.09,45377800,Apple,0.0042,-0.3693,1.0138,1,Apple market update,1.0
2023-07-25,190.94,37283200,Apple,0.0045,-0.1784,1.0079,1,Apple market update,1.0
2023-07-26,191.81,47471900,Apple,0.0045,0.2733,1.012,0,Apple market update,1.0
2023-07-27,190.55,47460200,Apple,-0.0066,-0.0002,1.0241,1,Apple market update,1.0
2023-07-28,193.12,48291400,Apple,0.0135,0.0175,1.0128,1,Apple market update,1.0
2023-07-31,193.73,38824100,Apple,0.0032,-0.196,1.0063,0,Apple market update,1.0
2023-08-01,192.91,35175100,Apple,-0.0043,-0.094,1.0074,0,Apple market update,1.0
2023-08-02,189.92,50389300,Apple,-0.0155,0.4325,1.0174,0,Apple market update,1.0
2023-08-03,188.53,61235200,Apple,-0.0073,0.2152,1.0088,0,Apple market update,1.0
2023-08-04,179.47,115956800,Apple,-0.048,0.8936,1.03,0,Apple market update,1.0
2023-08-07,176.38,97576100,Apple,-0.0173,-0.1585,1.0326,1,Apple market update,1.0
2023-08-08,177.31,67823000,Apple,0.0053,-0.3049,1.0151,0,Apple market update,1.0
2023-08-09,175.73,60378500,Apple,-0.009,-0.1098,1.0221,0,Apple market update,1.0
2023-08-10,175.51,54686900,Apple,-0.0012,-0.0943,1.0177,1,Apple market update,1.0
2023-08-11,175.57,52036700,Apple,0.0003,-0.0485,1.0117,1,Apple market update,1.0
2023-08-14,177.22,43675600,Apple,0.0094,-0.1607,1.0134,0,Apple market update,1.0
2023-08-15,175.23,43622600,Apple,-0.0112,-0.0012,1.0137,0,Apple market update,1.0
2023-08-16,174.36,46964900,Apple,-0.005,0.0766,1.0116,0,Apple market update,1.0
2023-08-17,171.83,66062900,Apple,-0.0146,0.4066,1.0232,1,Apple market update,1.0
2023-08-18,172.31,61172200,Apple,0.0028,-0.074,1.0183,1,Apple market update,1.0
2023-08-21,173.64,46311900,Apple,0.0077,-0.2429,1.0138,1,Apple market update,1.0
2023-08-22,175.02,42038900,Apple,0.0079,-0.0923,1.0081,1,Apple market update,1.0
2023-08-23,178.86,52722800,Apple,0.0219,0.2541,1.0181,0,Apple market update,1.0
2023-08-24,174.18,54945800,Apple,-0.0262,0.0422,1.0289,1,Apple market update,1.0
2023-08-25,176.38,51449600,Apple,0.0126,-0.0636,1.0189,1,Apple market update,1.0
2023-08-28,177.94,43820700,Apple,0.0088,-0.1483,1.0114,1,Apple market update,1.0
2023-08-29,181.82,53003900,Apple,0.0218,0.2096,1.0301,1,Apple market update,1.0
2023-08-30,185.31,60813900,Apple,0.0192,0.1473,1.0168,1,Apple market update,1.0
2023-08-31,185.52,60794500,Apple,0.0012,-0.0003,1.0087,1,Apple market update,1.0
2023-09-01,187.09,45766500,Apple,0.0085,-0.2472,1.0087,1,Apple market update,1.0
2023-09-05,187.33,45280000,Apple,0.0013,-0.0106,1.0126,0,Apple market update,1.0
2023-09-06,180.62,81755800,Apple,-0.0358,0.8056,1.0407,0,Apple market update,1.0
2023-09-07,175.34,112488800,Apple,-0.0292,0.3759,1.0269,1,Apple market update,1.0
2023-09-08,175.95,65551300,Apple,0.0035,-0.4173,1.0138,1,Apple market update,1.0
2023-09-11,177.12,58953100,Apple,0.0066,-0.1007,1.0167,0,Apple market update,1.0
2023-09-12,174.1,90370200,Apple,-0.0171,0.5329,1.0304,0,Apple market update,1.0
2023-09-13,172.03,84267900,Apple,-0.0119,-0.0675,1.0191,1,Apple market update,1.0
2023-09-14,173.54,60895800,Apple,0.0088,-0.2774,1.0145,0,Apple market update,1.0
2023-09-15,172.82,109259500,Apple,-0.0042,0.7942,1.0154,1,Apple market update,1.0
2023-09-18,175.75,67257600,Apple,0.0169,-0.3844,1.0182,1,Apple market update,1.0
2023-09-19,176.83,51826900,Apple,0.0062,-0.2294,1.0141,0,Apple market update,1.0
2023-09-20,173.3,58436200,Apple,-0.02,0.1275,1.0245,0,Apple market update,1.0
2023-09-21,171.76,63149100,Apple,-0.0089,0.0807,1.014,1,Apple market update,1.0
2023-09-22,172.61,56725400,Apple,0.0049,-0.1017,1.0174,1,Apple market update,1.0
2023-09-25,173.88,46172700,Apple,0.0074,-0.186,1.0162,0,Apple market update,1.0
2023-09-26,169.81,64588900,Apple,-0.0234,0.3989,1.0206,0,Apple market update,1.0
2023-09-27,168.3,66921800,Apple,-0.0089,0.0361,1.0236,1,Apple market update,1.0
2023-09-28,168.56,56294400,Apple,0.0015,-0.1588,1.0263,1,Apple market update,1.0
2023-09-29,169.07,51861100,Apple,0.003,-0.0788,1.016,1,Apple market update,1.0
2023-10-02,171.58,52164500,Apple,0.0148,0.0059,1.0197,0,Apple market update,1.0
2023-10-03,170.25,49594600,Apple,-0.0078,-0.0493,1.0165,1,Apple market update,1.0
2023-10-04,171.49,53020300,Apple,0.0073,0.0691,1.019,1,Apple market update,1.0
2023-10-05,172.72,48527900,Apple,0.0072,-0.0847,1.016,1,Apple market update,1.0
2023-10-06,175.27,57266700,Apple,0.0148,0.1801,1.0278,1,Apple market update,1.0
2023-10-09,176.75,42390800,Apple,0.0085,-0.2598,1.0185,0,Apple market update,1.0
2023-10-10,176.16,43698000,Apple,-0.0034,0.0308,1.0099,1,Apple market update,1.0
2023-10-11,177.55,47551100,Apple,0.0079,0.0882,1.0127,1,Apple market update,1.0
2023-10-12,178.45,56743100,Apple,0.0051,0.1933,1.0184,0,Apple market update,1.0
2023-10-13,176.62,51427100,Apple,-0.0103,-0.0937,1.0213,0,Apple market update,1.0
2023-10-16,176.49,52517000,Apple,-0.0007,0.0212,1.0146,0,Apple market update,1.0
2023-10-17,174.94,57549400,Apple,-0.0088,0.0958,1.0207,0,Apple market update,1.0
2023-10-18,173.64,54764400,Apple,-0.0074,-0.0484,1.0141,0,Apple market update,1.0
2023-10-19,173.27,59302900,Apple,-0.0022,0.0829,1.0151,0,Apple market update,1.0
2023-10-20,170.72,64244000,Apple,-0.0147,0.0833,1.0161,1,Apple market update,1.0
2023-10-23,170.84,55980100,Apple,0.0007,-0.1286,1.024,1,Apple market update,1.0
2023-10-24,171.27,43816600,Apple,0.0025,-0.2173,1.0129,0,Apple market update,1.0
2023-10-25,168.96,57157000,Apple,-0.0135,0.3045,1.0141,0,Apple market update,1.0
2023-10-26,164.8,70625300,Apple,-0.0246,0.2356,1.0345,1,Apple market update,1.0
2023-10-27,166.12,58499100,Apple,0.008,-0.1717,1.0128,1,Apple market update,1.0
2023-10-30,168.16,51131000,Apple,0.0123,-0.126,1.0136,1,Apple market update,1.0
2023-10-31,168.64,44846000,Apple,0.0028,-0.1229,1.0179,1,Apple market update,1.0
2023-11-01,171.8,56934900,Apple,0.0187,0.2696,1.0242,1,Apple market update,1.0
2023-11-02,175.35,77334800,Apple,0.0207,0.3583,1.0132,0,Apple market update,1.0
2023-11-03,174.44,79829200,Apple,-0.0052,0.0323,1.02,1,Apple market update,1.0
2023-11-06,176.99,63841300,Apple,0.0146,-0.2003,1.0183,1,Apple market update,1.0
2023-11-07,179.55,70530000,Apple,0.0145,0.1048,1.0194,1,Apple market update,1.0
2023-11-08,180.6,49340300,Apple,0.0059,-0.3004,1.0102,0,Apple market update,1.0
2023-11-09,180.13,53763500,Apple,-0.0026,0.0896,1.0127,1,Apple market update,1.0
2023-11-10,184.31,66133400,Apple,0.0232,0.2301,1.0166,0,Apple market update,1.0
2023-11-13,182.73,43627500,Apple,-0.0086,-0.3403,1.0099,1,Apple market update,1.0
2023-11-14,185.34,60108400,Apple,0.0143,0.3778,1.0097,1,Apple market update,1.0
2023-11-15,185.91,53790500,Apple,0.003,-0.1051,1.0092,1,Apple market update,1.0
2023-11-16,187.59,54412900,Apple,0.009,0.0116,1.0122,0,Apple market update,1.0
2023-11-17,187.57,50922700,Apple,-0.0001,-0.0641,1.0096,1,Apple market update,1.0
2023-11-20,189.31,46505100,Apple,0.0093,-0.0868,1.0107,0,Apple market update,1.0
2023-11-21,188.51,38134500,Apple,-0.0042,-0.18,1.0094,1,Apple market update,1.0
2023-11-22,189.17,39617700,Apple,0.0035,0.0389,1.011,0,Apple market update,1.0
2023-11-24,187.84,24048300,Apple,-0.007,-0.393,1.0087,0,Apple market update,1.0
2023-11-27,187.67,40552600,Apple,-0.0009,0.6863,1.0094,1,Apple market update,1.0
2023-11-28,188.27,38415400,Apple,0.0032,-0.0527,1.0089,0,Apple market update,1.0
2023-11-29,187.25,43014200,Apple,-0.0054,0.1197,1.0165,1,Apple market update,1.0
2023-11-30,187.82,48794400,Apple,0.0031,0.1344,1.0113,1,Apple market update,1.0
2023-12-01,189.1,45704800,Apple,0.0068,-0.0633,1.0123,0,Apple market update,1.0
2023-12-04,187.31,43389500,Apple,-0.0095,-0.0507,1.0139,1,Apple market update,1.0
2023-12-05,191.26,66628400,Apple,0.0211,0.5356,1.0222,0,Apple market update,1.0
2023-12-06,190.17,41089700,Apple,-0.0057,-0.3833,1.0138,1,Apple market update,1.0
2023-12-07,192.1,47477700,Apple,0.0101,0.1555,1.0073,1,Apple market update,1.0
2023-12-08,193.52,53406400,Apple,0.0074,0.1249,1.012,0,Apple market update,1.0
2023-12-11,191.02,60943700,Apple,-0.0129,0.1411,1.0108,1,Apple market update,1.0
2023-12-12,192.53,52696900,Apple,0.0079,-0.1353,1.0156,1,Apple market update,1.0
2023-12-13,195.74,70404200,Apple,0.0167,0.336,1.0162,1,Apple market update,1.0
2023-12-14,195.89,66831600,Apple,0.0008,-0.0507,1.0176,0,Apple market update,1.0
2023-12-15,195.36,128538400,Apple,-0.0027,0.9233,1.0071,0,Apple market update,1.0
2023-12-18,193.7,55751900,Apple,-0.0085,-0.5663,1.0115,1,Apple market update,1.0
2023-12-19,194.74,40714100,Apple,0.0054,-0.2697,1.0054,0,Apple market update,1.0
2023-12-20,192.65,52242800,Apple,-0.0107,0.2832,1.0146,0,Apple market update,1.0
2023-12-21,192.5,46482500,Apple,-0.0008,-0.1103,1.0185,0,Apple market update,1.0
2023-12-22,191.43,37149600,Apple,-0.0055,-0.2008,1.0126,0,Apple market update,1.0
2023-12-26,190.89,28919300,Apple,-0.0028,-0.2215,1.0055,1,Apple market update,1.0
2023-12-27,190.99,48087700,Apple,0.0005,0.6628,1.0126,1,Apple market update,1.0
2023-12-28,191.41,34049900,Apple,0.0022,-0.2919,1.0077,0,Apple market update,1.0
2023-12-29,190.38,42672100,Apple,-0.0054,0.2532,1.0139,0,Apple market update,1.0
2024-01-02,183.56,82488700,Apple,-0.0358,0.9331,1.0247,0,Apple market update,1.0
2024-01-03,182.19,58414500,Apple,-0.0075,-0.2918,1.0134,0,Apple market update,1.0
2024-01-04,179.87,71983600,Apple,-0.0127,0.2323,1.0122,0,Apple market update,1.0
2024-01-05,179.15,62379700,Apple,-0.004,-0.1334,1.0144,1,Apple market update,1.0
2024-01-08,183.48,59144500,Apple,0.0242,-0.0519,1.0226,0,Apple market update,1.0
2024-01-09,183.07,42841800,Apple,-0.0023,-0.2756,1.0132,1,Apple market update,1.0
2024-01-10,184.11,46792900,Apple,0.0057,0.0922,1.0135,0,Apple market update,1.0
2024-01-11,183.51,49128400,Apple,-0.0032,0.0499,1.0187,1,Apple market update,1.0
2024-01-12,183.84,40477800,Apple,0.0018,-0.1761,1.0084,0,Apple market update,1.0
2024-01-16,181.57,65603000,Apple,-0.0123,0.6207,1.0184,0,Apple market update,1.0
2024-01-17,180.64,47317400,Apple,-0.0052,-0.2787,1.0146,1,Apple market update,1.0
2024-01-18,186.52,78005800,Apple,0.0326,0.6486,1.0178,1,Apple market update,1.0
2024-01-19,189.42,68903000,Apple,0.0155,-0.1167,1.0166,1,Apple market update,1.0
2024-01-22,191.72,60133900,Apple,0.0122,-0.1273,1.016,1,Apple market update,1.0
2024-01-23,193.0,42355600,Apple,0.0067,-0.2956,1.0099,0,Apple market update,1.0
2024-01-24,192.32,53631300,Apple,-0.0035,0.2662,1.0105,0,Apple market update,1.0
2024-01-25,192.0,54822100,Apple,-0.0017,0.0222,1.0164,0,Apple market update,1.0
2024-01-26,190.27,44594000,Apple,-0.009,-0.1866,1.0147,0,Apple market update,1.0
2024-01-29,189.58,47145600,Apple,-0.0036,0.0572,1.0138,0,Apple market update,1.0
2024-01-30,185.94,55859400,Apple,-0.0192,0.1848,1.0231,0,Apple market update,1.0
2024-01-31,182.34,55467800,Apple,-0.0194,-0.007,1.0149,1,Apple market update,1.0
2024-02-01,184.77,64885400,Apple,0.0133,0.1698,1.017,0,Apple market update,1.0
2024-02-02,183.77,102551700,Apple,-0.0054,0.5805,1.0451,1,Apple market update,1.0
2024-02-05,185.58,69668800,Apple,0.0098,-0.3206,1.0183,1,Apple market update,1.0
2024-02-06,187.18,43490800,Apple,0.0086,-0.3757,1.0136,1,Apple market update,1.0
2024-02-07,187.29,53439000,Apple,0.0006,0.2287,1.0129,0,Apple market update,1.0
2024-02-08,186.21,40962000,Apple,-0.0058,-0.2335,1.0117,1,Apple market update,1.0
2024-02-09,186.97,45155200,Apple,0.0041,0.1024,1.0106,0,Apple market update,1.0
2024-02-12,185.29,41781900,Apple,-0.009,-0.0747,1.0101,0,Apple market update,1.0
2024-02-13,183.2,56529500,Apple,-0.0113,0.353,1.0147,0,Apple market update,1.0
2024-02-14,182.32,54630500,Apple,-0.0048,-0.0336,1.0169,0,Apple market update,1.0
2024-02-15,182.03,65434500,Apple,-0.0016,0.1978,1.0173,0,Apple market update,1.0
2024-02-16,180.5,49752500,Apple,-0.0084,-0.2397,1.0175,0,Apple market update,1.0
2024-02-20,179.76,53665600,Apple,-0.0041,0.0787,1.0135,1,Apple market update,1.0
2024-02-21,180.51,41371400,Apple,0.0042,-0.2291,1.0123,1,Apple market update,1.0
2024-02-22,182.54,52292200,Apple,0.0112,0.264,1.0137,0,Apple market update,1.0
2024-02-23,180.71,45119700,Apple,-0.01,-0.1372,1.0154,0,Apple market update,1.0
2024-02-26,179.36,40867400,Apple,-0.0075,-0.0942,1.0117,1,Apple market update,1.0
2024-02-27,180.82,54318900,Apple,0.0081,0.3291,1.0243,0,Apple market update,1.0
2024-02-28,179.62,48953900,Apple,-0.0066,-0.0988,1.0166,0,Apple market update,1.0
2024-02-29,178.95,136682600,Apple,-0.0037,1.7921,1.0169,0,Apple market update,1.0
2024-03-01,177.88,73563100,Apple,-0.006,-0.4618,1.0178,0,Apple market update,1.0
2024-03-04,173.36,81510100,Apple,-0.0254,0.108,1.0179,0,Apple market update,1.0
2024-03-05,168.43,95132400,Apple,-0.0284,0.1671,1.0143,0,Apple market update,1.0
2024-03-06,167.44,68587700,Apple,-0.0059,-0.279,1.0152,0,Apple market update,1.0
2024-03-07,167.32,71765100,Apple,-0.0007,0.0463,1.0133,1,Apple market update,1.0
2024-03-08,169.03,76267000,Apple,0.0102,0.0627,1.0282,1,Apple market update,1.0
2024-03-11,171.03,60139500,Apple,0.0118,-0.2115,1.0135,1,Apple market update,1.0
2024-03-12,171.51,59825400,Apple,0.0028,-0.0052,1.0177,0,Apple market update,1.0
