date,volume_change,high_low_ratio,target,headline,volume_log,day_of_week,month,quarter,is_monday,is_friday,company_encoded,close_norm,price_change_norm,news_count_capped
2023-02-08,-0.6784210681181941,0.0,0,Apple market update,17.97626846087594,2,2,1,0,0,0,-1.5350924342557115,-1.1655824149293923,0.5265890341390445
2023-02-09,-0.340898965407362,0.0,1,Apple market update,17.840989044231957,3,2,1,0,0,0,-1.5598898652816509,-0.4996276237790611,0.5265890341390445
2023-02-10,0.0848750623805009,0.0,1,Apple market update,17.866437764099306,4,2,1,0,1,0,-1.5509820502529157,0.079999694444375,0.5265890341390445
2023-02-13,0.2239873237310095,0.0,0,Apple market update,17.94584949648718,0,2,1,1,0,0,-1.4838123099010996,1.0850981292360784,0.5265890341390445
2023-02-14,-0.0024787307450995,0.0,1,Apple market update,17.93791767415672,1,2,1,0,0,0,-1.4992204223832362,-0.3331389259914784,0.5265890341390445
2023-02-15,0.176349669836071,0.0,0,Apple market update,17.99868679914288,2,2,1,0,0,0,-1.4486625533012245,0.7829519739919467,0.5265890341390445
2023-02-16,0.1195779776630243,0.0,0,Apple market update,18.037484352194543,3,2,1,0,0,0,-1.4869420827490334,-0.715446306096298,0.5265890341390445
2023-02-17,-0.3590165099154223,0.0,0,Apple market update,17.895487413914086,4,2,1,0,1,0,-1.5146285348653736,-0.5366251121763018,0.5265890341390445
2023-02-22,-0.3624079503555731,0.0,1,Apple market update,17.747557754376846,2,2,1,0,0,0,-1.600817664062327,0.1046646867092021,0.5265890341390445
2023-02-23,-0.1206646256995312,0.0,0,Apple market update,17.694890550458997,3,2,1,0,0,0,-1.5892615797007246,0.1293296789740292,0.5265890341390445
2023-02-24,0.368926041025801,0.0,1,Apple market update,17.831345698928207,4,2,1,0,1,0,-1.6530607954470733,-1.1840811591280125,0.5265890341390445
2023-02-27,-0.5384407622498084,0.0,0,Apple market update,17.622139736068654,0,2,1,1,0,0,-1.6244113363006,0.4314758342181609,0.5265890341390445
2023-02-28,0.3179687199414235,0.0,0,Apple market update,17.7384141742722,1,2,1,0,0,0,-1.6364489241772695,-0.2838089414618243,0.5265890341390445
2023-03-01,0.2591500353067332,0.0,1,Apple market update,17.831515146759962,2,3,1,0,0,0,-1.686284537986681,-0.9497637326121554,0.5265890341390445
2023-03-02,-0.1406163990052927,0.0,1,Apple market update,17.771322690816895,3,3,1,0,0,0,-1.672080184292211,0.1786596635036834,0.5265890341390445
2023-03-06,0.5604685400847903,0.0,0,Apple market update,18.28781200029894,0,3,1,1,0,0,-1.4842938134161658,1.066599385037458,0.5265890341390445
2023-03-07,-1.1469093145757507,0.0,1,Apple market update,17.84410699666361,1,3,1,0,0,0,-1.5370184483159783,-0.9682624768107756,0.5265890341390445
2023-03-08,-0.4447700578235917,0.0,0,Apple market update,17.670006161484746,2,3,1,0,0,0,-1.5069244786243046,0.4438083303505744,0.5265890341390445
2023-03-09,0.3561455801130718,0.0,0,Apple market update,17.801408384082738,3,3,1,0,0,0,-1.5610936240693174,-0.9929274690756028,0.5265890341390445
2023-03-10,0.6305043725275444,0.0,1,Apple market update,18.043400693960344,4,3,1,0,1,0,-1.610688486121196,-0.931264988413535,0.5265890341390445
2023-03-13,0.5479060299443298,0.0,1,Apple market update,18.251754282940663,0,3,1,1,0,0,-1.5639826451597183,0.7459544855947061,0.5265890341390445
2023-03-14,-0.34365471884463,0.0,1,Apple market update,18.115457738245155,1,3,1,0,0,0,-1.5136655278352396,0.7952844701243603,0.5265890341390445
2023-03-15,0.1381884301366041,0.0,1,Apple market update,18.16149413837487,2,3,1,0,0,0,-1.5040354575339043,0.0861659425105818,0.5265890341390445
2023-03-16,-0.0160321568993812,0.0,0,Apple market update,18.148361404750453,3,3,1,0,0,0,-1.4363842136670215,1.0789318811698716,0.5265890341390445
2023-03-17,0.6783399239989137,0.0,1,Apple market update,18.410070665613677,4,3,1,0,1,0,-1.4563666095422925,-0.4133001508521664,0.5265890341390445
2023-03-20,-0.7660614585176617,0.0,1,Apple market update,18.1147179391346,0,3,1,1,0,0,-1.3995491947644128,0.8816119430512551,0.5265890341390445
2023-03-21,0.0288011484536882,0.0,0,Apple market update,18.118741533118417,1,3,1,0,0,0,-1.3550101196207347,0.6596270126678114,0.5265890341390445
2023-03-22,0.0800496667921276,0.0,1,Apple market update,18.142312509406043,2,3,1,0,0,0,-1.38943762094801,-0.6352850812356101,0.5265890341390445
2023-03-23,-0.2809939041162413,0.0,1,Apple market update,18.029445425450476,3,3,1,0,0,0,-1.3631956793768705,0.3574808574236797,0.5265890341390445
2023-03-24,-0.3350906438554052,0.0,0,Apple market update,17.89637299337775,4,3,1,0,1,0,-1.3318979508975295,0.4376420822843677,0.5265890341390445
2023-03-27,-0.3059377773018191,0.0,0,Apple market update,17.774232036739154,0,3,1,1,0,0,-1.3786037918590075,-0.8326050193542267,0.5265890341390445
2023-03-28,-0.3274675014651451,0.0,1,Apple market update,17.64398239660099,1,3,1,0,0,0,-1.3935304008260778,-0.3208064298590649,0.5265890341390445
2023-03-29,0.3003032678223618,0.0,1,Apple market update,17.753312434570738,2,3,1,0,0,0,-1.3196196112633265,1.1467606098981462,0.5265890341390445
2023-03-30,-0.0760665361723417,-3.469446951953614e-18,1,Apple market update,17.717517590584865,3,3,1,0,0,0,-1.282062337088118,0.536302051343676,0.5265890341390445
2023-03-31,0.8386608843239628,0.0,1,Apple market update,18.045984399961313,4,3,1,0,1,0,-1.2216336459472363,0.8877781911174618,0.5265890341390445
2023-04-03,-0.4815561326280494,0.0,0,Apple market update,17.858144212294654,0,4,2,1,0,0,-1.1915396762555626,0.4006445938871271,0.5265890341390445
2023-04-04,-0.5351606919780444,0.0,0,Apple market update,17.650183748293486,1,4,2,0,0,0,-1.2045402711623654,-0.2714764453294107,0.5265890341390445
2023-04-05,0.2948354569970755,0.0,1,Apple market update,17.757319543710565,2,4,2,0,0,0,-1.2488385945485094,-0.770942538692159,0.5265890341390445
2023-04-06,-0.3174386621161992,0.0,0,Apple market update,17.6308045995899,3,4,2,0,0,0,-1.227411688128038,0.2649871364305781,0.5265890341390445
2023-04-10,0.1485348663937004,0.0,0,Apple market update,17.680796211760818,0,4,2,1,0,0,-1.2897663933291863,-1.0607561978038773,0.5265890341390445
2023-04-11,0.0144039585668472,0.0,0,Apple market update,17.679271480763383,1,4,2,0,0,0,-1.3188973559907262,-0.5427913602425086,0.5265890341390445
2023-04-12,0.1507449801089337,0.0,1,Apple market update,17.730192046492654,2,4,2,0,0,0,-1.335509227260531,-0.345471422123892,0.5265890341390445
2023-04-14,-0.8473480492075067,0.0,1,Apple market update,17.715187685706766,4,4,2,0,1,0,-1.214411093221235,-0.2036477166011362,0.5265890341390445
2023-04-17,-0.4434990169444543,0.0,1,Apple market update,17.541594294562486,0,4,2,1,0,0,-1.213929589706168,-0.0679902591445873,0.5265890341390445
2023-04-18,0.4887773036173036,0.0,1,Apple market update,17.72599239640444,1,4,2,0,0,0,-1.1845578752870944,0.3883120977547135,0.5265890341390445
2023-04-19,-0.1006096918238999,0.0,0,Apple market update,17.680865367255528,2,4,2,0,0,0,-1.157112174928287,0.3574808574236797,0.5265890341390445
2023-04-20,0.2628638876087643,0.0,0,Apple market update,17.77549292539843,3,4,2,0,0,0,-1.1802243436514932,-0.4317988950507867,0.5265890341390445
2023-04-21,0.2925526835997258,0.0,1,Apple market update,17.881752258049474,4,4,2,0,1,0,-1.2189853766143697,-0.6784488176990574,0.5265890341390445
2023-04-24,-0.8560151046391499,0.0,0,Apple market update,17.551979479509253,0,4,2,1,0,0,-1.2115220721308342,0.0430022060471344,0.5265890341390445
2023-04-25,0.4018092107359393,0.0,0,Apple market update,17.701479094396433,1,4,2,0,0,0,-1.2485978427909763,-0.6537838254342304,0.5265890341390445
2023-04-26,-0.1621666074435447,0.0,1,Apple market update,17.633196531925616,2,4,2,0,0,0,-1.2488385945485094,-0.0803227552770009,0.5265890341390445
2023-04-28,-0.4084544547527973,0.0,0,Apple market update,17.827847584891533,4,4,2,0,1,0,-1.108480319906543,0.3883120977547135,0.5265890341390445
2023-05-01,-0.1189865457927474,0.0,0,Apple market update,17.77580742287095,0,5,2,1,0,0,-1.1106470857243436,-0.1049877475418279,0.5265890341390445
2023-05-02,-0.1940014129327652,0.0,0,Apple market update,17.695541243146362,1,5,2,0,0,0,-1.135444516750283,-0.4564638873156138,0.5265890341390445
2023-05-03,0.7622901218174795,0.0,0,Apple market update,17.99198796507739,2,5,2,0,0,0,-1.1612049548063554,-0.4749626315142341,0.5265890341390445
2023-05-04,0.5788622872123724,0.0,1,Apple market update,18.212861683029736,3,5,2,0,0,0,-1.2006882430418313,-0.6846150657652643,0.5265890341390445
2023-05-08,-1.76743700046808,0.0,0,Apple market update,17.840197760118635,0,5,2,1,0,0,-1.0179576590739874,-0.0988214994756212,0.5265890341390445
2023-05-09,-0.5427102114283452,0.0,1,Apple market update,17.629411255259036,1,5,2,0,0,0,-1.0588854578546645,-0.690781313831471,0.5265890341390445
2023-05-10,0.4529477413555116,0.0,1,Apple market update,17.799379712408765,2,5,2,0,0,0,-1.0165131485287875,0.5671332916747098,0.5265890341390445
2023-05-11,-0.1977578357181651,0.0,0,Apple market update,17.717780173345137,3,5,2,0,0,0,-1.011938865135653,-0.0063277784825196,0.5265890341390445
2023-05-12,-0.2035484360554552,0.0,0,Apple market update,17.63395011393082,4,5,2,0,1,0,-1.0343287785862585,-0.4071339027859597,0.5265890341390445
2023-05-15,-0.5145786001181636,0.0,0,Apple market update,17.43361075130475,0,5,2,1,0,0,-1.0461256147053946,-0.2529777011307904,0.5265890341390445
2023-05-17,0.8169644502051043,0.0,1,Apple market update,17.87511875463329,2,5,2,0,0,0,-1.0314397574958574,0.1478284231726495,0.5265890341390445
2023-05-18,0.3334636265334269,0.0,1,Apple market update,17.997510332924836,3,5,2,0,0,0,-0.9753445979905776,0.7706194778595332,0.5265890341390445
2023-05-19,-0.4071997530463045,0.0,0,Apple market update,17.837454681674654,4,5,2,0,1,0,-0.97269632865771,-0.0371590188135535,0.5265890341390445
2023-05-22,-0.6402086712127787,-3.469446951953614e-18,0,Apple market update,17.589900077246348,0,5,2,1,0,0,-0.9955677456233826,-0.4133001508521664,0.5265890341390445
2023-05-23,0.4091368633423349,0.0,1,Apple market update,17.742368992205932,1,5,2,0,0,0,-1.0581632025820642,-1.0114262132742229,0.5265890341390445
2023-05-24,-0.2920835761034208,0.0,1,Apple market update,17.62535688505239,2,5,2,0,0,0,-1.0516629051286623,0.0245034618485141,0.5265890341390445
2023-05-25,0.5682038154391545,0.0,1,Apple market update,17.84190279642753,3,5,2,0,0,0,-1.024217204769856,0.3389821132250594,0.5265890341390445
2023-05-26,-0.0396275059009279,0.0,1,Apple market update,17.819839252412972,4,5,2,0,1,0,-0.966436782961842,0.7952844701243603,0.5265890341390445
2023-05-30,0.0716410271632076,0.0,0,Apple market update,17.840226350130205,1,5,2,0,0,0,-0.9218977078181648,0.5856320358733301,0.5265890341390445
2023-05-31,1.4076001446236523,0.0,1,Apple market update,18.416926716400077,2,5,2,0,0,0,-0.9231014666058316,-0.0926552514094144,0.5265890341390445
2023-06-01,-0.9568345487304192,0.0,1,Apple market update,18.048192874974628,3,6,2,0,0,0,-0.8556909744964823,0.9124431833822888,0.5265890341390445
2023-06-02,-0.2616283116950996,0.0,0,Apple market update,17.942594957889163,4,6,2,0,1,0,-0.8352270751061442,0.2218233999671307,0.5265890341390445
2023-06-05,1.624648442995066,0.0,0,Apple market update,18.61909299012766,0,6,2,1,0,0,-0.8677285623731519,-0.5427913602425086,0.5265890341390445
2023-06-06,-1.5984165156620522,0.0,0,Apple market update,17.9875628115222,1,6,2,0,0,0,-0.8766363774018875,-0.2036477166011362,0.5265890341390445
2023-06-07,-0.1025516276307518,0.0,1,Apple market update,17.941751011313396,2,6,2,0,0,0,-0.9096193681839616,-0.5551238563749221,0.5265890341390445
2023-06-08,-0.5404105245504198,0.0,1,Apple market update,17.73182237328518,3,6,2,0,0,0,-0.844375641892413,0.8816119430512551,0.5265890341390445
2023-06-09,-0.0515246168258259,0.0,1,Apple market update,17.705287974894997,4,6,2,0,1,0,-0.8349863233486104,0.0615009502457547,0.5265890341390445
2023-06-12,0.2875211892277768,0.0,0,Apple market update,17.809572449682747,0,6,2,1,0,0,-0.7678165829967946,0.8877781911174618,0.5265890341390445
2023-06-13,0.0498188907916692,0.0,1,Apple market update,17.821553838900513,1,6,2,0,0,0,-0.7791319156008639,-0.2344789569321701,0.5265890341390445
2023-06-14,0.1357170502718312,0.0,1,Apple market update,17.866650097536485,2,6,2,0,0,0,-0.7639645548762604,0.1416621751064427,0.5265890341390445
2023-06-15,0.3523835835090155,0.0,0,Apple market update,17.99654034816186,3,6,2,0,0,0,-0.715091948096982,0.616463276204364,0.5265890341390445
2023-06-16,1.091784880630686,0.0,1,Apple market update,18.433164506520004,4,6,2,0,1,0,-0.7410931379105878,-0.4379651431169935,0.5265890341390445
2023-06-20,-1.7741373145303383,0.0,0,Apple market update,17.723507489623103,1,6,2,0,0,0,-0.7389263720927879,-0.0433252668797603,0.5265890341390445
2023-06-21,0.0033404420452844,0.0,1,Apple market update,17.71780036916339,2,6,2,0,0,0,-0.7637238031187272,-0.42563264698458,0.5265890341390445
2023-06-22,0.107826359145205,0.0,0,Apple market update,17.75213448397433,3,6,2,0,0,0,-0.6917390276162431,0.9432744237133228,0.5265890341390445
2023-06-23,0.111834674995679,0.0,0,Apple market update,17.78800760446038,4,6,2,0,1,0,-0.6992023320997782,-0.1789827243363092,0.5265890341390445
2023-06-26,-0.2453576152744505,0.0,1,Apple market update,17.688557801036243,0,6,2,1,0,0,-0.7326668263969193,-0.5427913602425086,0.5265890341390445
2023-06-27,0.157360624355263,0.0,1,Apple market update,17.742043798891906,1,6,2,0,0,0,-0.6664600930752367,0.856946950786428,0.5265890341390445
2023-06-28,0.0433552964459615,0.0,1,Apple market update,17.751578180713345,2,6,2,0,0,0,-0.6382921374438303,0.3143171209602323,0.5265890341390445
2023-06-29,-0.2465373701058125,-3.469446951953614e-18,1,Apple market update,17.651673617428443,3,6,2,0,0,0,-0.630106577687695,0.0368359579809276,0.5265890341390445
2023-06-30,1.478520079564861,0.0,0,Apple market update,18.260666921111937,4,6,2,0,1,0,-0.5261018184332702,1.3502467960829694,0.5265890341390445
2023-07-03,-2.3512739207417206,0.0,0,Apple market update,17.26417027023399,0,7,3,1,0,0,-0.561973830305745,-0.5551238563749221,0.5265890341390445
2023-07-05,1.0064740109796906,0.0,1,Apple market update,17.663960996903736,2,7,3,0,0,0,-0.5889380271494848,-0.4379651431169935,0.5265890341390445
2023-07-06,-0.086236748169737,0.0,0,Apple market update,17.624266432851986,3,7,3,0,0,0,-0.5773819427878824,0.079999694444375,0.5265890341390445
2023-07-07,0.116084719073815,0.0,0,Apple market update,17.661714243715803,4,7,3,0,1,0,-0.6043461396316222,-0.4379651431169935,0.5265890341390445
2023-07-10,0.6423403244084906,0.0,0,Apple market update,17.90855762880837,0,7,3,1,0,0,-0.6534594981684338,-0.7462775464273319,0.5265890341390445
2023-07-11,-0.6483588685713187,0.0,1,Apple market update,17.657928383054088,1,7,3,0,0,0,-0.6659785895601704,-0.2468114530645836,0.5265890341390445
2023-07-12,0.6848622448257744,0.0,1,Apple market update,17.922280948821435,2,7,3,0,0,0,-0.6257730460520937,0.480805818747815,0.5265890341390445
2023-07-13,-0.9983179577167952,-3.469446951953614e-18,1,Apple market update,17.537396771046275,3,7,3,0,0,0,-0.6074759124795562,0.1786596635036834,0.5265890341390445
2023-07-14,0.0355715025355934,0.0,1,Apple market update,17.54400009653203,4,7,3,0,1,0,-0.6041053878740884,-0.0248265226811399,0.5265890341390445
2023-07-17,0.5123640845060393,0.0,0,Apple market update,17.737883834060977,0,7,3,1,0,0,-0.5256203149182032,0.9926044082429768,0.5265890341390445
2023-07-18,-0.1008870077857047,0.0,1,Apple market update,17.6926978030659,1,7,3,0,0,0,-0.5318798606140711,-0.1543177320714821,0.5265890341390445
2023-07-19,1.261394007936746,0.0,0,Apple market update,18.203858433928364,2,7,3,0,0,0,-0.4993783733470635,0.3636471054898864,0.5265890341390445
2023-07-20,-0.7808927165227336,0.0,0,Apple market update,17.902850662817308,3,7,3,0,0,0,-0.5460842143085413,-0.6969475618976777,0.5265890341390445
2023-07-21,0.4992735063888848,0.0,1,Apple market update,18.091505632435847,4,7,3,0,1,0,-0.5742521699399483,-0.4564638873156138,0.5265890341390445
2023-07-24,-1.1900550212786447,0.0,1,Apple market update,17.630533578671617,0,7,3,1,0,0,-0.5549920293372769,0.1848259115698901,0.5265890341390445
2023-07-25,-0.5045030374179372,0.0,1,Apple market update,17.43405340782949,1,7,3,0,0,0,-0.5345281299469388,0.2033246557685104,0.5265890341390445
2023-07-26,0.6295466024082965,0.0,0,Apple market update,17.675648536070728,2,7,3,0,0,0,-0.5135827270415336,0.2033246557685104,0.5265890341390445
2023-07-27,0.017816203418992,0.0,1,Apple market update,17.67540204410831,3,7,3,0,0,0,-0.5439174484907406,-0.4811288795804409,0.5265890341390445
2023-07-28,0.063709788363681,0.0,1,Apple market update,17.692764069646728,4,7,3,0,1,0,-0.4820442468046593,0.7582869817271197,0.5265890341390445
2023-07-31,-0.5621631149792087,-3.469446951953614e-18,0,Apple market update,17.474551771547425,0,7,3,1,0,0,-0.4673583895951228,0.1231634309078224,0.5265890341390445
2023-08-01,-0.2432943905131308,-3.469446951953614e-18,0,Apple market update,17.375849032318104,1,8,3,0,0,0,-0.4871000337128607,-0.3393051740576852,0.5265890341390445
2023-08-02,0.9119741227581408,0.0,0,Apple market update,17.735289428760606,2,8,3,0,0,0,-0.5590848092153449,-1.0299249574728433,0.5265890341390445
2023-08-03,0.5148085957349819,0.0,0,Apple market update,17.930232761868652,3,8,3,0,0,0,-0.5925493035124859,-0.5242926160438883,0.5265890341390445
2023-08-07,-0.4406412557704361,0.0,1,Apple market update,18.396143154595272,0,8,3,1,0,0,-0.8850626889155561,-1.1409174226645653,0.5265890341390445
2023-08-08,-0.9438484681462116,0.0,0,Apple market update,18.03241194316671,1,8,3,0,0,0,-0.8626727754649505,0.2526546402981646,0.5265890341390445
2023-08-09,-0.29028198640524,0.0,0,Apple market update,17.916143655833437,2,8,3,0,0,0,-0.9007115531552266,-0.6291188331694033,0.5265890341390445
2023-08-10,-0.2441784199153934,0.0,1,Apple market update,17.817134768879264,3,8,3,0,0,0,-0.9060080918209612,-0.1481514840052753,0.5265890341390445
2023-08-11,-0.1128442234395074,0.0,1,Apple market update,17.767459816055695,4,8,3,0,1,0,-0.9045635812757608,-0.0556577630121738,0.5265890341390445
2023-08-14,-0.447631980998068,0.0,0,Apple market update,17.5923001746224,0,8,3,1,0,0,-0.8648395412827511,0.5054708110126422,0.5265890341390445
2023-08-15,0.0151919103786582,0.0,0,Apple market update,17.59108594557077,1,8,3,0,0,0,-0.912749141031896,-0.7647762906259522,0.5265890341390445
2023-08-16,0.209744682897674,0.0,0,Apple market update,17.6649110934558,2,8,3,0,0,0,-0.9336945439373006,-0.3824689105211326,0.5265890341390445
2023-08-17,0.8688796974001811,0.0,1,Apple market update,18.00611789158577,3,8,3,0,0,0,-0.9946047385932484,-0.9744287248769824,0.5265890341390445
2023-08-18,-0.1850675179665069,0.0,1,Apple market update,17.929203412261792,4,8,3,0,1,0,-0.983048654231646,0.0984984386429953,0.5265890341390445
2023-08-21,-0.7212574915725177,0.0,1,Apple market update,17.650909527063792,0,8,3,1,0,0,-0.9510286704797054,0.4006445938871271,0.5265890341390445
2023-08-22,-0.2382908330705837,0.0,1,Apple market update,17.55410596186158,1,8,3,0,0,0,-0.9178049279400968,0.4129770900195406,0.5265890341390445
2023-08-23,0.5923945899450231,0.0,0,Apple market update,17.780558576489224,2,8,3,0,0,0,-0.8253562530472747,1.2762518192884882,0.5265890341390445
2023-08-25,-0.1553396514002992,0.0,1,Apple market update,17.75611326511222,4,8,3,0,1,0,-0.8850626889155561,0.7027907491312588,0.5265890341390445
2023-08-28,-0.4084544547527973,0.0,1,Apple market update,17.595616889265163,0,8,3,1,0,0,-0.847505414740347,0.4684733226154015,0.5265890341390445
2023-08-29,0.5033739684303682,0.0,1,Apple market update,17.785876072581356,1,8,3,0,0,0,-0.7540937328173914,1.2700855712222814,0.5265890341390445
2023-08-30,0.371340451908524,0.0,1,Apple market update,17.92332895567185,2,8,3,0,0,0,-0.6700713694382378,1.1097631215009054,0.5265890341390445
2023-08-31,0.0175539273043284,0.0,1,Apple market update,17.923009898767134,3,8,3,0,0,0,-0.6650155825300363,-0.0001615304163129,0.5265890341390445
2023-09-01,-0.7362423660173624,0.0,1,Apple market update,17.639062962252904,4,9,3,0,1,0,-0.6272175565972942,0.4499745784167812,0.5265890341390445
2023-09-05,-0.0096430118357682,0.0,0,Apple market update,17.628376013944006,1,9,3,0,0,0,-0.6214395144164925,0.0060047176498938,0.5265890341390445
2023-09-08,-1.3836343325728848,0.0,1,Apple market update,17.998343615421724,4,9,3,0,1,0,-0.895415014489492,0.1416621751064427,0.5265890341390445
2023-09-11,-0.2631127164365094,0.0,0,Apple market update,17.89225278746573,0,9,3,1,0,0,-0.8672470588580848,0.3328158651588526,0.5265890341390445
2023-09-12,1.0699338340055906,0.0,0,Apple market update,18.31942513606511,1,9,3,0,0,0,-0.9399540896331692,-1.1285849265321517,0.5265890341390445
2023-09-13,-0.1664436012771079,0.0,1,Apple market update,18.249511579404626,2,9,3,0,0,0,-0.989789703442581,-0.8079400270893997,0.5265890341390445
2023-09-14,-0.8433826994684174,0.0,0,Apple market update,17.924674781206146,3,9,3,0,0,0,-0.9534361880550392,0.4684733226154015,0.5265890341390445
2023-09-15,1.4248740496104024,0.0,1,Apple market update,18.509236353833735,4,9,3,0,1,0,-0.9707703145974432,-0.3331389259914784,0.5265890341390445
2023-09-18,-1.2500191200451625,0.0,1,Apple market update,18.02404059608157,0,9,3,1,0,0,-0.9002300496401595,0.9679394159781496,0.5265890341390445
2023-09-19,-0.6746479715017413,0.0,0,Apple market update,17.763419896751827,1,9,3,0,0,0,-0.8742288598265531,0.3081508728940255,0.5265890341390445
2023-09-20,0.3274150644261726,0.0,0,Apple market update,17.88344613588911,2,9,3,0,0,0,-0.95921423023584,-1.307406120452148,0.5265890341390445
2023-09-21,0.2194882630178055,0.0,1,Apple market update,17.961009170713282,3,9,3,0,0,0,-0.9962900008959829,-0.6229525851031965,0.5265890341390445
2023-09-22,-0.2660841528417018,0.0,1,Apple market update,17.85373265779867,4,9,3,0,1,0,-0.975826101505644,0.2279896480333375,0.5265890341390445
2023-09-25,-0.5292655936428404,0.0,0,Apple market update,17.64789929396329,0,9,3,1,0,0,-0.9452506282989038,0.3821458496885068,0.5265890341390445
2023-09-26,0.8558687869592927,0.0,0,Apple market update,17.983553142846095,1,9,3,0,0,0,-1.0432365936149937,-1.5170585547031783,0.5265890341390445
2023-09-27,0.1108333494159203,0.0,1,Apple market update,18.019035346452377,2,9,3,0,0,0,-1.0795901090025355,-0.6229525851031965,0.5265890341390445
2023-09-28,-0.4415935227321901,0.0,1,Apple market update,17.84610563878617,3,9,3,0,0,0,-1.0733305633066677,0.0183372137823073,0.5265890341390445
2023-09-29,-0.1989148415883689,0.0,1,Apple market update,17.764079568084682,4,9,3,0,1,0,-1.0610522236724649,0.1108309347754089,0.5265890341390445
2023-10-02,0.0337509499650935,0.0,0,Apple market update,17.76991276403763,0,10,4,1,0,0,-1.000623532531583,0.8384482065878077,0.5265890341390445
2023-10-03,-0.1150758615149881,0.0,1,Apple market update,17.719392534964026,1,10,4,0,0,0,-1.0326435162835246,-0.5551238563749221,0.5265890341390445
2023-10-04,0.1917957968964663,0.0,1,Apple market update,17.786185435912017,2,10,4,0,0,0,-1.002790298349384,0.3759796016223,0.5265890341390445
2023-10-05,-0.2160454142628845,0.0,1,Apple market update,17.69764946884907,3,10,4,0,0,0,-0.9731778321727772,0.3698133535560932,0.5265890341390445
2023-10-06,0.441982453730511,0.0,1,Apple market update,17.863229878380483,4,10,4,0,1,0,-0.911786134001762,0.8384482065878077,0.5265890341390445
2023-10-09,-0.7805388440847134,0.0,0,Apple market update,17.562441939116322,0,10,4,1,0,0,-0.8761548738868205,0.4499745784167812,0.5265890341390445
2023-10-10,0.0975182250992397,0.0,1,Apple market update,17.59281291531245,1,10,4,0,0,0,-0.8903592275812906,-0.2838089414618243,0.5265890341390445
